Structure
Brigade Départementale d'Hygiène Kédougou
Brigade Départementale d'Hygiène Kolda
Brigade Départementale d'Hygiène Ndoffane
Brigade Départementale d'Hygiène Salemata
Brigade Départementale d'Hygiène Saraya
Brigade Départementale d'Hygiène Vélingara
Brigade Régionale d'Hygiène Dakar
Brigade Régionale d'Hygiène Diourbel
Brigade Régionale d'Hygiène Fatick
Brigade Régionale d'Hygiène Kaffrine
Brigade Régionale d'Hygiène Kaolack
Brigade Régionale d'Hygiène Kédougou
Brigade Régionale d'Hygiène Kolda
Brigade Régionale d'Hygiène Louga
Brigade Régionale d'Hygiène Matam
Brigade Régionale d'Hygiène Saint-Louis
Brigade Régionale d'Hygiène Sédhiou
Brigade Régionale d'Hygiène Tamba
Brigade Régionale d'Hygiène Thies
Brigade Régionale d'Hygiène Ziguinchor
Brigade Spéciale d'Hygiène Touba
Cabinet du Ministre
CACMU (Cellule d'Appui à la Couverture Maladie Universelle)
CAP (Centre Anti-Poison)
Centre de Dialyse Khalifa Ababacar Sall
Centre de Kinésithérapie et de rééducation fonctionnelle
Centre de Promotion et de Réinsertion Social de Bambilor
Centre de réadaptation des malades mentaux
Centre de Réadaptation Fonctionnelle de Ndiaganiao
Centre de Recuperation et d'Education Nutritionnelle de Kolda
Centre des Handicapées de Mbour
Centre Gériatrique Souleymane Kanté
Centre Hospitalier Régional Amat DANSOKHO
Centre national de Formation en Maintenance Hospitaliere (CNFMTH)
Centre National Talibou Dabo
Centre psychiatrique de Tambacounda
Centre Psychiatrique Emile BADIANE
Centre Socio Pediatrique de Diourbel
CNAO  (Centre National d'Appareillage Orthépedique)
CNDT (Conseil national du don et de la transplantation)
CNOD (Centre National d'Oncologie de Diamniadio)
CNRPH (Centre Nationale de Réadaptation et de Réinsertion des Personnes Handicapées)
CNRS Bambey
CNRS de Darou Mouhty
CNRS Kaolack
CNTS (Centre National de Transfusion Sanguine)
Conseil National du Don et de la Transplantation
COUS (Centre des Opérations d'Urgence Sanitaire)
CRFS Kolda
CRFS Matam
CRFS Saint Louis
CRFS Tambacounda
CRFS Thiès
CRFS Ziguinchor
Croix Rouge Sénégal
DAGE (Direction de l'Administration générale et de l'Equipement)
DEPrS (Direction des Etablissements privés de Santé)
DEPS (Direction des Etablissements Publiques de Santé)
DGES (Direction générale des Etablissements de Santé)
DGS (Direction Générale de la Santé)
DIEM (Direction des Infrastructures, des Equipements et de la Maintenance)
Direction Agence Comptable
Direction de la distribution et du marketing commercial
Direction de la Médecine du Travail (Université de Bambey)
Direction de la Prevention
Direction des Affaires Juridiques
Direction des programmes, des projets et du partenariat
Direction Régionale de la Santé de Dakar
Direction Régionale de la Santé de Diourbel
Direction Régionale de la Santé de Fatick
Direction Régionale de la Santé de Kaffrine
Direction Régionale de la Santé de Kaolack
Direction Régionale de la Santé de Kedougou
Direction Régionale de la Santé de Kolda
Direction Régionale de la Santé de Louga
Direction Régionale de la Santé de Matam
Direction Régionale de la Santé de Saint Louis
Direction Régionale de la Santé de Sédhiou
Direction Régionale de la Santé de Tambacounda
Direction Régionale de la Santé de Thiès
Direction Régionale de la Santé de Ziguinchor
District Sanitaire Bakel
District Sanitaire Bambey
District Sanitaire Bignona
District Sanitaire Birkelane
District Sanitaire Bounkiling
District Sanitaire Dagana
District Sanitaire Dahra
District Sanitaire Dakar Centre
District Sanitaire Dakar Nord
District Sanitaire Dakar Ouest
District Sanitaire Dakar Sud
District Sanitaire Darou Mousty
District Sanitaire Diakhao
District Sanitaire Diamniadio
District Sanitaire Dianké Makha
District Sanitaire Diofior
District Sanitaire Diouloulou
District Sanitaire Diourbel
District Sanitaire Fatick
District Sanitaire Foundiougne
District Sanitaire Gossas
District Sanitaire Goudiry
District Sanitaire Goudomp
District Sanitaire Guédiawaye
District Sanitaire Guinguinéo
District Sanitaire Joal
District Sanitaire Kaffrine
District Sanitaire Kanel
District Sanitaire Kaolack
District Sanitaire Kébémer
District Sanitaire Kédougou
District Sanitaire Keur Massar
District Sanitaire Keur Momar Sarr
District Sanitaire Khombole
District Sanitaire Kidira
District Sanitaire Koki
District Sanitaire Kolda
District Sanitaire Koumpentoum
District Sanitaire Koungheul
District Sanitaire Linguère
District Sanitaire Louga
District Sanitaire Makacolibantang
District Sanitaire Malem Hodar
District Sanitaire Matam
District Sanitaire Mbacké
District Sanitaire Mbao
District Sanitaire Mbour
District Sanitaire Méckhé
District Sanitaire Médina Yoro Foula
District Sanitaire Ndoffane
District Sanitaire Niakhar
District Sanitaire Nioro
District Sanitaire Oussouye
District Sanitaire Passy
District Sanitaire Pété
District Sanitaire Pikine
District Sanitaire Podor
District Sanitaire Popenguine
District Sanitaire Pout
District Sanitaire Ranérou
District Sanitaire Richard Toll
District Sanitaire Rufisque
District Sanitaire Saint-Louis
District Sanitaire Sakal
District Sanitaire Salémata
District Sanitaire Sangalkam
District Sanitaire Saraya
District Sanitaire Sédhiou
District Sanitaire Sokone
District Sanitaire Tambacounda
District Sanitaire Thiadiaye
District Sanitaire Thiès
District Sanitaire Thilogne
District Sanitaire Thionck-Essyl
District Sanitaire Tivaouane
District Sanitaire Touba
District Sanitaire Vélingara
District Sanitaire Yeumbeul
District Sanitaire Ziguinchor
DL (Direction des laboratoires)
DLM (Direction de la Lutte contre la Maladie)
DLSI (Division Lutte contre le Sida)
Dpc Charles De Foucauld A La Sicap Baobab
DPM (Direction de la Pharmacie et du Médiment)
DPRS (Direction de la Planification, de la Recherche et des Statistiques)
DQSH (Direction de la Qualité de la Sécurité et de l'Hygiène hospitalière)
DRH (Direction des Ressources Humaines)
DSME (Direction de la Santé de la Mère et de l'Enfant)
Ecole Nationale des Travailleurs Sociaux Spécialisés
EPS1 Abdoul Cissé KANE
EPS1 Linguere
EPS1 Mbour
EPS1 Richard-Toll
EPS1 Roi Baudouin
EPS1 Touba Ndamatou
EPS1 Youssou Mbargane Diop
EPS2 (Centre Hospitalier Ordre de Malt)
EPS2 Ahmat DANSOKHO
EPS2 Fatick
EPS2 Heinrich Lubke
EPS2 Hôpital de la Paix
EPS2 Hôpital militaire de Ouakam
